"farm","inner.radius","outer.radius","coffee","developed","forest","past/grass","shrub","water"
"JAYU2",500,"1000",0.122630394995213,0.102990679442883,0.670192003250122,0.101663954555988,0.00252297311089933,0
"JAYU3",500,"1000",0.0831933096051216,0.108565509319305,0.720865428447723,0.0817949026823044,0.0055808057077229,0
"JUAN1",500,"1000",0.0526966527104378,0.0447563081979752,0.872113406658173,0.026223199442029,0.0042103580199182,0
"JUAN7*",500,"1000",0.0106299510225654,0.0303439851850271,0.936238348484039,0.0197304897010326,0.00305717159062624,0
"LASM1*",500,"1000",0.0339755676686764,0.0460083931684494,0.897188544273376,0.0140579827129841,0.0087695075199008,0
"LASM2",500,"1000",0.0238273274153471,0.0531644634902477,0.888057708740234,0.0341861844062805,0.00076429289765656,0
"LASM3",500,"1000",0.0243502948433161,0.061206828802824,0.874317467212677,0.0401253774762154,0,0
"MARI2*",500,"1000",0.104989245533943,0.0608917772769928,0.792637884616852,0.0394816063344479,0.00199943454936147,0
"MARI3*",500,"1000",0.141029864549637,0.0584826469421387,0.764587759971619,0.0332246795296669,0.00267502502538264,0
"MARI8*",500,"1000",0.383102238178253,0.105719275772572,0.428737103939056,0.0742347314953804,0.00820662640035152,0
"OROC1",500,"1000",0.0377524644136429,0.0540169216692448,0.833659112453461,0.0675772652029991,0.0069942781701684,0
"PONC1*",500,"1000",0.00273512629792094,0.0758921429514885,0.883600652217865,0.0366255827248096,0.00114643934648484,0
"UTUA10",500,"1000",0.0579059571027756,0.0537784807384014,0.832688510417938,0.0496967807412148,0.00593024911358953,0
"UTUA13",500,"1000",0.0966749712824821,0.061619121581316,0.78885543346405,0.0486401543021202,0.00421035662293434,0
"UTUA16*",500,"1000",0.000125288192066364,0.0698439031839371,0.873705387115479,0.0544146783649921,0.0019107322441414,0
"UTUA17*",500,"1000",0.0215023290365934,0.0570198632776737,0.877729952335358,0.0422351136803627,0.00151278881821781,0
"UTUA18",500,"1000",0.0530343428254128,0.128933236002922,0.723708033561707,0.0912671983242035,0.00305717159062624,0
"UTUA2",500,"1000",0.0193503107875586,0.0788175314664841,0.841398000717163,0.0337440371513367,0.00256294989958405,0.0241271015256643
"UTUA20*",500,"1000",0.0350434966385365,0.0523231476545334,0.781066834926605,0.126096665859222,0.00546982791274786,0
"UTUA30*",500,"1000",0.0430610254406929,0.0538560934364796,0.850723206996918,0.0461139157414436,0.00624574767425656,0
