"farm","radius","coffee","developed","forest","past/grass","shrub","water"
"YAUC5*","500",0.0327254869043827,0.0468882881104946,0.913507580757141,0.00687863631173968,0,0
"ADJU7","600",0.225059077143669,0.0772684440016747,0.249523252248764,0.0354488156735897,0.0023884151596576,0.410311937332153
"ADJU8","600",0.331235647201538,0.0368367470800877,0.549733281135559,0.0774174556136131,0.0047768303193152,0
"ADJUCP","600",0.0175150446593761,0.175244882702827,0.752504348754883,0.0507550127804279,0.00398069201037288,0
"JAYU2","600",0.139263600111008,0.181299656629562,0.563043892383575,0.102858483791351,0.0135343531146646,0
"JAYU3","600",0.266353040933609,0.255674511194229,0.325578361749649,0.139655843377113,0.0127382148057222,0
"JUAN1","600",0.0791452378034592,0.0377975217998028,0.85793536901474,0.0216440055519342,0.00347787933424115,0
"JUAN7*","600",0.0142198828980327,0.108439736068249,0.853614926338196,0.023725489154458,0,0
"LASM1*","600",0.0908684954047203,0.0669271647930145,0.817102432250977,0.0222918763756752,0.00280997436493635,0
"LASM2","600",0.0613314658403397,0.0842513367533684,0.776171386241913,0.0782457888126373,0,0
"LASM3","600",0.0473624542355537,0.0767113640904427,0.831051588058472,0.0432823114097118,0.00159227685071528,0
"MARI2*","600",0.341007322072983,0.0561181008815765,0.57522863149643,0.0251499116420746,0.00249601854011416,0
"MARI3*","600",0.302740603685379,0.0903714075684547,0.551464855670929,0.051501702517271,0.00392139237374067,0
"MARI8*","600",0.666085541248322,0.083742082118988,0.191635221242905,0.0555021986365318,0.00303491787053645,0
"OROC1","600",0.0279243402183056,0.0538668558001518,0.755893409252167,0.152261734008789,0.0100536439567804,0
"PONC1*","600",0.0214957371354103,0.0563284866511822,0.896840035915375,0.0253357719630003,0,0
"UTUA10","600",0.066431999206543,0.0426457785069942,0.82805734872818,0.0524830110371113,0.010381892323494,0
"UTUA13","600",0.28697943687439,0.0630381554365158,0.624573409557343,0.0214282814413309,0.00398069201037288,0
"UTUA16*","600",0,0.122881516814232,0.821942567825317,0.0519913285970688,0.00318455370143056,0
"UTUA17*","600",0.0970639437437057,0.108696922659874,0.721519410610199,0.0719235762953758,0.00079613842535764,0
"UTUA18","600",0.0268727503716946,0.128897920250893,0.718510866165161,0.124126151204109,0.00159227685071528,0
"UTUA2","600",0.0644354298710823,0.12019419670105,0.746291041374207,0.0634897798299789,0.00557537516579032,1.41523114507436e-05
"UTUA20*","600",0.0735285133123398,0.0287752244621515,0.82331109046936,0.0704044550657272,0.00398069201037288,0
"UTUA30*","600",0.00496147945523262,0.0417048186063766,0.897262156009674,0.0470207333564758,0.00905079580843449,0
"UTUA5","600",0.15787136554718,0.0472840741276741,0.73240315914154,0.0572530254721642,0.00518831936642528,0
"YAUC3","600",0.182060852646828,0.0531047247350216,0.722959101200104,0.0370984561741352,0.0047768303193152,0
"YAUC4*","600",0.211374163627625,0.0451139435172081,0.740327298641205,0.00318455370143056,0,0
"YAUC5*","600",0.0347570143640041,0.0501545816659927,0.904357731342316,0.0107306037098169,0,0
"ADJU7","700",0.240640968084335,0.0855468660593033,0.275780737400055,0.0546548999845982,0.00521299242973328,0.338163524866104
"ADJU8","700",0.293770521879196,0.0346833989024162,0.603367567062378,0.0640840381383896,0.00409442605450749,0
"ADJUCP","700",0.0128681967034936,0.200030758976936,0.720390141010284,0.0637863427400589,0.00292459013871849,0
"JAYU2","700",0.142654255032539,0.16020193696022,0.582325518131256,0.104874685406685,0.00994360633194447,0
"JAYU3","700",0.228042036294937,0.221772521734238,0.406939625740051,0.131193295121193,0.0120525406673551,0
"JUAN1","700",0.0702175498008728,0.0405339561402798,0.860854744911194,0.023129453882575,0.00526426220312715,0
"JUAN7*","700",0.0105285244062543,0.0904743149876595,0.872789621353149,0.0262075178325176,0,0
"LASM1*","700",0.0919722989201546,0.0650389194488525,0.824007630348206,0.0166414491832256,0.00233967206440866,0
"LASM2","700",0.0462878830730915,0.0749152675271034,0.809258818626404,0.0695380195975304,0,0
"LASM3","700",0.0476528629660606,0.0715226978063583,0.823557376861572,0.0560972392559052,0.00116983603220433,0
"MARI2*","700",0.273303031921387,0.0575841479003429,0.636306643486023,0.0287117194384336,0.00409442605450749,0
"MARI3*","700",0.256444871425629,0.0831589922308922,0.608409821987152,0.0483058579266071,0.00368049531243742,0
