"farm","radius","coastal_veg","coffee","developed","forest","mines","past/grass","shrub","water","no_data"
"MARI3*","200",0.546843469142914,0,0.287350505590439,0.129087716341019,0.0367183424532413,0,0,0,0
"ADJUCP","200",0.00362949585542083,0,0.894432365894318,0.00913965608924627,0.0927985161542892,0,0,0,0
"UTUA2","300",0.0286609828472137,0.152473911643028,0.527438700199127,0.06026391685009,0.231162458658218,0,0,0,0
"UTUA5","300",0.0889057144522667,0.133692622184753,0.675437808036804,0.0584334805607796,0.031845536082983,0,0.0116847744211555,0,0
"YAUC3","300",0.0215132609009743,0.0763915479183197,0,0.0239462498575449,0.063806839287281,0,0.814342081546783,0,0
"JUAN1","300",0.000484990858240053,0.00252610654570162,0.831871330738068,0.0414830856025219,0.0353194512426853,0,0.0883149802684784,0,0
"LASM1*","300",0.022167906165123,0.0457397550344467,0.719680964946747,0.14320757985115,0.0692037642002106,0,0,0,0
"YAUC4*","300",0.0896694138646126,0,0,0.0308386497199535,0.0368362963199615,0,0.842655539512634,0,0
"UTUA10","300",0,0.0732132717967033,0.851940393447876,0,0.0748462527990341,0,0,0,0
"LASM2","300",0.0182844307273626,0.105965882539749,0.676125049591064,0.0217101462185383,0.111786797642708,0,0,0.0661276876926422,0
"LASM3","300",0.0117628639563918,0.115762308239937,0.767824292182922,0.0191073212772608,0.0855431780219078,0,0,0,0
"JUAN7*","300",0,0.0229872670024633,0.721598207950592,0,0.255414485931396,0,0,0,0
"MARI8*","300",0.805409371852875,0.0188418291509151,0,0.0514836870133877,0.0872403159737587,0,0.0370247811079025,0,0
"PONC1*","300",0.00887252297252417,0.0319964215159416,0.845947325229645,0.0623705685138702,0.0508131459355354,0,0,0,0
"UTUA16*","300",0,0.0998911410570145,0.696961164474487,0,0.203147679567337,0,0,0,0
"UTUA17*","300",0.0977760031819344,0.10086315125227,0.48466283082962,0.0782318264245987,0.238466143608093,0,0,0,0
"UTUA18","300",0,0.0974642485380173,0.748970448970795,0,0.153565257787704,0,0,0,0
"UTUA20*","300",0,0.0119194714352489,0.953043103218079,0,0.0350373759865761,0,0,0,0
"UTUA30*","300",0,0.0417932458221912,0.895704627037048,0,0.0625020861625671,0,0,0,0
"JAYU2","300",0.0949067920446396,0.159345716238022,0.46171972155571,0.0889032259583473,0.195124536752701,0,0,0,0
"JAYU3","300",0.197006314992905,0.172454223036766,0.225681483745575,0.0875029563903809,0.31735497713089,0,0,0,0
"UTUA13","300",0.33404615521431,0.00636910740286112,0.343196779489517,0.244869902729988,0.0715180188417435,0,0,0,0
"ADJU7","300",0.112087689340115,0.022866303101182,0.115823090076447,0.153028428554535,0.165799126029015,0.427210777997971,0.00318455370143056,0,0
"ADJU8","300",0.420907735824585,0.0794307962059975,0.464248359203339,0.0112711107358336,0.0241419542580843,0,0,0,0
"OROC1","300",0.0065668891184032,0.116604149341583,0.444593638181686,0.0286609828472137,0.0996128246188164,0,0.276352375745773,0.0276090931147337,0
"MARI2*","300",0.314040422439575,0.0118872849270701,0.394227772951126,0.271001100540161,0.008843376301229,0,0,0,0
"MARI3*","300",0.461167752742767,0.0187778957188129,0.33352193236351,0.104348994791508,0.082183413207531,0,0,0,0
"ADJUCP","300",0.0163198634982109,0.0161435268819332,0.820051908493042,0.0348783135414124,0.112606339156628,0,0,0,0
"UTUA2","400",0.0335262976586819,0.128973960876465,0.583602964878082,0.045939102768898,0.207957744598389,0,0,0,0
"UTUA5","400",0.0911815315485001,0.0842979773879051,0.720476627349854,0.0692286789417267,0.0179636497050524,0,0.0168515890836716,0,0
"YAUC3","400",0.054313775151968,0.0430518426001072,0,0.0643909722566605,0.0595002509653568,0,0.778743147850037,0,0
"JUAN1","400",0.030409587547183,0.0185238737612963,0.728014707565308,0.0934116840362549,0.0270413141697645,0,0.102598875761032,0,0
"LASM1*","400",0.0214051809161901,0.0407972522079945,0.755564391613007,0.111559197306633,0.0706739574670792,0,0,0,0
"YAUC4*","400",0.115462593734264,0.00179131154436618,0.00064374360954389,0.0552183911204338,0.031367301940918,0,0.795516729354858,0,0
"UTUA10","400",0.00537987099960446,0.0679081827402115,0.870641350746155,0.000844045192934573,0.0552265793085098,0,0,0,0
"LASM2","400",0.0185814835131168,0.0971875488758087,0.719792008399963,0.0236396938562393,0.10318174213171,0,0,0.0376175418496132,0
"LASM3","400",0.0109479846432805,0.071652464568615,0.812584817409515,0.0209342110902071,0.0838805660605431,0,0,0,0
"JUAN7*","400",0,0.019935866817832,0.794353127479553,0,0.185711026191711,0,0,0,0
"MARI8*","400",0.718315005302429,0.0226036515086889,0,0.076991967856884,0.0958416387438774,0,0.0862477347254753,0,0
"PONC1*","400",0.00537393474951386,0.026869673281908,0.88735431432724,0.0429914779961109,0.0374106541275978,0,0,0,0
"UTUA16*","400",0,0.0738748759031296,0.76838892698288,0,0.157736271619797,0,0,0,0
"UTUA17*","400",0.0762162357568741,0.0984905585646629,0.607767343521118,0.0501567237079144,0.167369186878204,0,0,0,0
"UTUA18","400",0.00457027507945895,0.081725962460041,0.762422919273376,0.00179131154436618,0.149489536881447,0,0,0,0
"UTUA20*","400",0.00835673324763775,0.0287157408893108,0.903384268283844,0.0185444727540016,0.0407216213643551,0,0,0.000277239683782682,0
